Model,Dialect,Metric,Mean,Std,CI_Lower,CI_Upper,N_Samples
MultiView_Original,egyptian,f1,0.893033376850497,0.014405730593875309,0.8650834254122932,0.9204350054945677,484
MultiView_Original,egyptian,accuracy,0.8899070247933883,0.01443411779095803,0.8615702479338843,0.9173553719008265,484
MultiView_Original,egyptian,mcc,0.8264691598579973,0.02285929117211607,0.7823280518581581,0.8714722575335692,484
MultiView_Original,egyptian,balanced_accuracy,0.8882266926608943,0.015536319648655005,0.8577278078452869,0.9174816264807173,484
MultiView_Original,egyptian,cohen_kappa,0.825924098548774,0.022941681000087526,0.7811871962639737,0.8705148615908423,484
MultiView_Original,tunisian,f1,0.6971672549279483,0.01470205435220142,0.6691238470231315,0.7264728115807196,1183
MultiView_Original,tunisian,accuracy,0.7479543533389688,0.012708423206519997,0.7235841081994928,0.7734573119188504,1183
MultiView_Original,tunisian,mcc,0.5706516931561786,0.020790756256699752,0.5303947195748275,0.6116723454314925,1183
MultiView_Original,tunisian,balanced_accuracy,0.7007505781799176,0.014930510380714012,0.672569724045306,0.7296692040398493,1183
MultiView_Original,tunisian,cohen_kappa,0.5702330622805823,0.020819512041635544,0.5302507234777358,0.6113026152500625,1183
MultiView_Original,lebanese,f1,0.7945050124771368,0.008763520806573902,0.7771913458901459,0.8110861900045615,2940
MultiView_Original,lebanese,accuracy,0.8201187074829933,0.007251209277105341,0.8054421768707483,0.8336734693877551,2940
MultiView_Original,lebanese,mcc,0.6959584011028518,0.012089367584158555,0.6729223337195678,0.7175620778054367,2940
MultiView_Original,lebanese,balanced_accuracy,0.8075435349571943,0.008833879436214883,0.7900350776535273,0.8242970144433008,2940
MultiView_Original,lebanese,cohen_kappa,0.69532543764735,0.012123537801305425,0.6725937672466826,0.7171944361709084,2940
MultiView_FuzzyR,egyptian,f1,0.8947611053864519,0.014169640572590046,0.8671694854646795,0.9210766317439316,484
MultiView_FuzzyR,egyptian,accuracy,0.8876756198347107,0.014755852785065353,0.8574380165289256,0.9152892561983471,484
MultiView_FuzzyR,egyptian,mcc,0.8227534872909825,0.023518150681154232,0.7763515974413628,0.8679862789979046,484
MultiView_FuzzyR,egyptian,balanced_accuracy,0.8853781580192569,0.015815240009670186,0.854724129447686,0.9140370757966909,484
MultiView_FuzzyR,egyptian,cohen_kappa,0.8216179399843002,0.02367599680216013,0.7745011851142953,0.8674175908177256,484
MultiView_FuzzyR,tunisian,f1,0.7037186451291543,0.014843090336572237,0.6743013868989658,0.7321823511018218,1183
MultiView_FuzzyR,tunisian,accuracy,0.75616314454776,0.012585117452986374,0.7320371935756551,0.7802409129332206,1183
MultiView_FuzzyR,tunisian,mcc,0.5767755972360912,0.02122679892903831,0.5354073572810785,0.6166372233230102,1183
MultiView_FuzzyR,tunisian,balanced_accuracy,0.6995801212399013,0.015021799587597402,0.6706820978422674,0.7280648056842256,1183
MultiView_FuzzyR,tunisian,cohen_kappa,0.576253389509241,0.021248393909830715,0.5347067542432912,0.6158772988127532,1183
MultiView_FuzzyR,lebanese,f1,0.8043451117488158,0.008449037026215196,0.7871575001540316,0.8214843362161895,2940
MultiView_FuzzyR,lebanese,accuracy,0.827539455782313,0.006987878512854739,0.8135969387755102,0.8415051020408163,2940
MultiView_FuzzyR,lebanese,mcc,0.7079265044720219,0.011706068750612243,0.6842961487412828,0.7317521983872434,2940
MultiView_FuzzyR,lebanese,balanced_accuracy,0.8122946306717078,0.008679494972139117,0.7941835037393973,0.8294391899581843,2940
MultiView_FuzzyR,lebanese,cohen_kappa,0.7072277713824073,0.011756084814060737,0.683588412776461,0.7313381161227605,2940
